ClimbRate,Sgz,P,Q,CurPitch,CurRoll,AbsRoll,DiffClb,DiffRollRate,DiffDiffClb,SeTime1,SeTime2,SeTime3,SeTime4,SeTime5,SeTime6,SeTime7,SeTime8,SeTime9,SeTime10,SeTime11,SeTime12,SeTime13,SeTime14,DiffSeTime1,DiffSeTime2,DiffSeTime3,DiffSeTime4,DiffSeTime5,DiffSeTime6,DiffSeTime7,DiffSeTime8,DiffSeTime9,DiffSeTime10,DiffSeTime11,DiffSeTime12,DiffSeTime13,DiffSeTime14,Alpha,Se
232,-41,-0.06,-0.18,0.21,0.7,-9,23,0.003,-0.3,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.014
170,-2,-0.45,0.13,0.44,-0.7,-13,-8,-0.003,0.4,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.022,0.022,0.022,0.022,0.022,0,0,0,0,0,0,0,0,-0.001,0,-0.001,0,0,0,0.6,0.022
128,-9,-0.1,0,0.4,1.2,-6,0,-0.018,0.1,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.018
-144,12,0.12,-0.15,0.62,-0.6,-14,6,0.02,2.8,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.017
418,-28,-0.01,0.16,0.76,-0.6,-19,4,0.007,-0.2,0.047,0.047,0.047,0.047,0.047,0.047,0.047,0.047,0.047,0.047,0.047,0.047,0.047,0.047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0.047
-124,-13,-0.04,-0.07,0.61,-0.4,-6,8,0.005,-0.1,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.017
337,-17,-0.42,0.14,0.96,-1,-17,1,0.007,0.1,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,0.05
14,-23,0.09,0.08,0.65,0.1,-8,-7,-0.012,0.1,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0,0,0,0,0,0,-0.002,0,0,0,0,0,0,0,0.7,0.024
-525,-47,-0.6,0.03,1,0.5,-7,-3,-0.015,0.2,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.018,0,0,0,0,0,0,0,0,0,0,0,0,-0.002,0,0.5,0.018
2,27,0.36,0.18,0.59,1.4,-11,-18,-0.012,0.2,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.022
142,-42,0.28,-0.11,0.32,-0.8,-11,16,0.011,-0.2,0.017,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.016
159,-36,-0.2,-0.04,0.34,0.6,-9,8,-0.022,-0.2,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.017
177,25,0.2,0.16,0.39,0.9,-6,-12,-0.01,-1.4,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.02
-261,8,-0.07,0.07,0.78,0.5,-11,-2,-0.006,-0.1,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.019
-109,-37,-0.21,0.23,0.87,2.8,-15,-13,-0.025,-0.1,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.026,0.026,0.028,0.028,0.028,0.028,0.028,0,0,0,0,0,0,-0.002,0,-0.002,0,0,0,0,0,0.8,0.028
49,18,0.1,0.29,0.55,-0.4,-6,-15,-0.009,-5.2,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,-0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.021
74,-34,-0.18,-0.28,0.32,0.5,-7,21,-0.001,3,0.015,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.013
-103,2,-0.1,0.16,0.64,-1.1,-14,-6,0.006,0.1,0.019,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,-0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.02
305,17,0.08,0.13,0.32,-0.9,-16,-3,0.007,-0.2,0.023,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.022
-250,-21,-0.11,0.17,0.87,1.2,-12,-13,-0.015,0.1,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.02,0.02,0.021,0.021,0.023,0,0,0,0,0,0,0,0,-0.002,0,-0.002,0,-0.003,0,0.6,0.023
87,-15,-0.08,0.08,0.49,1.6,-17,6,-0.013,0,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.02,0,0,0,0,0,0,0,0,0,0,0,0,-0.002,0,0.6,0.02
-389,-21,-0.45,-0.13,0.86,-0.4,-12,2,0.009,3.1,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.017
-145,-5,-0.78,0.15,0.7,1.1,-12,-8,0.002,-0.7,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.02,-0.001,0,0,0,0,0,-0.001,0,-0.001,0,-0.001,0,-0.002,0,0.6,0.02
161,-56,-0.01,-0.23,0.32,0.8,-5,27,0.001,-1,0.017,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.015
-334,9,-0.29,0.05,1.28,-1.5,-17,1,0.001,1.5,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0.033
190,43,0.21,-0.05,0.49,-0.5,-6,4,0.01,0.1,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0.024
342,-25,-0.2,0.24,0.65,-0.2,-10,8,0.009,-2.8,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.04
-273,-12,0.2,0.09,0.8,1.5,-14,-4,-0.012,0.2,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.02
77,-70,0.27,0.18,0.53,-0.7,-11,-17,0.013,0.1,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0,0,0,0,0,0,-0.003,0,0,0,0,0,0,0,0.6,0.022
164,-42,0.06,-0.02,0.36,-2.1,-8,3,0.015,0.3,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.018
-190,-25,-0.17,0.03,0.75,1.7,-16,9,-0.015,-0.2,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.02
38,-20,0.51,-0.06,0.42,0.3,-10,14,-0.02,-1.2,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.016
-163,37,0.31,0.15,0.66,-0.9,-8,-14,0.002,-0.2,0.018,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.018,0.018,0.018,0.001,0,0,0,0,0,0,0,0,0,-0.002,0,0,0,0.5,0.018
-155,-33,-0.32,-0.05,0.71,0.5,-7,6,-0.006,0.5,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.02
-123,-61,0.21,-0.03,0.8,0.1,-13,9,0.001,-0.1,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0.024
7,-36,0.31,0.04,0.5,-0.2,-10,2,-0.019,-0.7,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.018
-435,-43,0.34,-0.04,0.97,0.9,-12,14,0.013,-0.4,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0,0,0,0,0,0,-0.002,0,0,0,0,0,0,0,0.6,0.02
-47,-18,-0.2,-0.07,0.49,0.5,-5,8,-0.003,-0.1,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,-0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.015
-61,7,0.07,0.05,0.58,0.8,-6,-5,-0.008,0,0.018,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,-0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.019
498,-8,-0.31,0.07,0.08,-0.7,-14,0,0.016,0.3,0.02,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.019
-309,12,0.57,0.12,0.83,-0.4,-19,-5,0,1.9,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.02
298,-35,0.11,0.19,0.46,-1.6,-21,0,0.02,0.3,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0,0,0,0,0,0,0,0,0,0,0,0,-0.001,0,0.8,0.028
-705,9,-0.1,-0.05,1.12,1.5,-4,-4,-0.013,1.8,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,-0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.017
-43,-6,-0.09,-0.04,0.74,0.1,-13,11,0.015,-0.2,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0.025
40,-12,-0.22,0.02,0.48,-0.4,-10,2,-0.008,0.1,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.018
159,24,-0.35,0.04,0.35,-0.5,-8,-2,0.005,-0.2,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.018
-254,-43,0.11,-0.04,1.03,0.8,-18,22,-0.008,0.2,0.027,0.027,0.027,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0,0,-0.001,0,-0.001,0,0,0,0,0,0,0,0,0,0.8,0.028
-116,-28,-0.04,0.04,0.61,0.8,-7,-3,-0.007,0,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.018
381,-20,-0.37,-0.02,0.16,0.7,-14,10,0,0,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.018
-160,2,-0.1,0.01,1.03,-0.7,-12,-4,0.005,1.2,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0.03
-639,6,0.23,-0.13,1.22,1.5,-10,-1,-0.011,4.5,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.022,0.022,0.022,0.022,0.022,0,0,0,0,0,0,0,0,-0.002,0,0,0,0,0,0.6,0.022
189,-49,-0.18,-0.04,0.32,-0.6,-8,8,0.011,-0.3,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.017
-31,27,-0.05,0.22,0.84,0.7,-15,-12,-0.005,-0.1,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.029
-383,-18,-0.34,0.09,0.89,-0.7,-13,-4,-0.004,0.2,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.02,0,0,0,0,0,0,0,0,0,0,-0.001,0,-0.003,0,0.6,0.02
-183,13,0.1,-0.13,0.66,-0.6,-11,7,0.019,2.4,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.017
131,7,0.35,0.01,0.37,-0.7,-8,2,0.006,-0.2,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.017
295,-29,0.27,-0.11,0.2,-0.3,-6,10,0.002,0.6,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.016
81,35,0.02,0.11,0.47,0.5,-12,-6,-0.003,-0.1,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.019
99,-13,0.11,0.02,0.41,0.6,-6,-2,-0.002,-0.1,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.017
-53,-21,0.2,0.21,0.67,-0.2,-11,-8,-0.004,-2.2,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.022
-4,-2,-0.01,0.11,0.83,-1.2,-7,-10,0.004,-0.2,0.028,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,-0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.029
-532,-23,-0.03,0.06,1.25,1.5,-17,7,-0.017,-0.3,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0.025
163,-16,-0.04,-0.18,0.28,-2.1,-12,24,0.031,0.9,0.017,0.016,0.016,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.001,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0.4,0.015
436,-4,0.1,0.1,0.14,-0.6,-13,1,0.013,-0.2,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0.5,0.02
-25,-32,0.29,0.03,0.54,-0.5,-7,-2,0.009,-0.2,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.018
105,-32,0.49,0.12,0.43,1,-5,-12,-0.015,-0.5,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0,0,0,0,0,0,0,0,0,0,0,0,-0.001,0,0.5,0.019
56,-40,0.66,0.04,0.49,-0.7,-8,-6,0,-0.7,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.018
356,-9,0.55,0.1,0.22,0.4,-10,-2,-0.009,-1.7,0.019,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.019,0.019,0.019,-0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.019
-154,9,-0.43,0.14,0.78,-0.2,-19,-4,0.005,1.6,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0.023
213,7,0.16,0.17,0.45,-1.6,-17,-6,0.016,-0.1,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0.024
78,18,-0.06,0.14,0.84,1,-7,-11,-0.013,-0.4,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0.033
237,41,0.08,0.25,0.4,0.5,-12,-22,-0.005,0.6,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.023
349,-11,0.1,0.11,0.56,-0.6,-9,2,0.005,-1.4,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0.034
-590,-14,-0.19,-0.06,1.01,1.4,-10,10,-0.014,-0.2,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0,0,0,0,0,0,0.001,0,-0.001,0,-0.001,0,0,0,0.5,0.016
-218,-7,0.29,-0.04,0.69,-0.9,-8,5,0.007,0.3,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.017
332,-45,0.49,0.06,0.2,-0.5,-15,8,0.018,-0.7,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.018
-104,1,0.08,0.03,0.6,-2.1,-15,7,0.017,0,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.018
251,-64,-0.61,-0.12,0.25,0.4,-13,18,0.005,0.2,0.017,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.016
-108,-37,-0.36,-0.11,0.9,1.7,-13,15,-0.009,0.1,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.027
-198,-21,0.3,-0.24,0.65,-0.6,-13,18,0.006,5.3,0.018,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.017
-1,35,0.54,0.26,0.62,0.7,-10,-26,-0.009,-0.2,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.022
287,0,-0.09,0.23,0.68,0.5,-18,-5,-0.013,-0.6,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.036
311,-16,0.27,0.03,0.63,-0.5,-10,-1,0.004,-0.2,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.036,0.036,0.034,0.034,0.034,0.034,0.034,0,0,0,0,0,0,0.002,0,0.002,0,0,0,0,0,1,0.034
-275,22,-0.23,0.2,1.02,0.6,-12,-15,-0.021,0.1,0.025,0.025,0.025,0.025,0.025,0.026,0.026,0.026,0.026,0.027,0.027,0.027,0.027,0.027,0,0,0,0,-0.002,0,0,0,-0.002,0,0,0,0,0,0.8,0.027
-61,-17,-0.41,0.03,0.58,0.6,-9,-2,0.006,0.5,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.019,0.019,0.019,0,0,0,0,0,0,0,0,-0.001,0,-0.001,0,0,0,0.5,0.019
268,-10,0.33,0.04,0.27,0.6,-5,-7,0.002,0.7,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.018
310,2,-0.41,0.24,0.39,1.4,-17,-15,-0.019,0.3,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0.025
21,-41,0.05,0.07,0.5,0,-19,9,0.009,0,0.018,0.018,0.018,0.018,0.018,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0,0,0,0,-0.002,0,0,0,0,0,0,0,0,0,0.5,0.019
-65,-11,-0.24,0.02,0.59,0.7,-12,10,-0.012,-0.9,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.019
254,-23,0.1,0.03,0.25,0.5,-7,-2,-0.012,-0.2,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.017,0.017,0.017,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0.5,0.017
-117,-12,0.28,-0.02,0.6,1.4,-14,8,-0.019,1.5,0.019,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.018
-107,-22,-0.33,0.03,0.6,-0.4,-13,3,0.01,0.5,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.018
112,-15,0.14,0.13,0.64,0.4,-6,-16,-0.004,0.6,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.027
379,-48,0.25,0.09,0.42,-1.1,-12,3,0.001,-0.1,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.03
-33,24,0.47,0.06,0.58,-0.4,-10,-2,0.006,0.2,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.02
-241,-83,0.08,0,1.03,-0.6,-14,7,0.012,0,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.027
-345,-34,-0.1,-0.08,0.81,-0.6,-11,5,-0.005,1.7,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.017,0,0,0,0,0,0,0,0,0,0,0,0,-0.002,0,0.5,0.017
-204,-27,-0.25,0.01,0.95,0.3,-9,2,-0.005,-0.2,0.024,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,-0.002,0,0,0,-0.001,0,-0.001,0,0,0,0,0,0,0,0.7,0.026
91,15,-0.32,0.08,0.47,1.2,-11,-4,-0.01,-0.1,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.02
211,-33,0.21,-0.01,0.7,1.4,-16,10,-0.013,0,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0.033
